play_times,song_names,song_uri,song_popularity,song_duration,song_explicit,number_artists,primary_artist,second_artist,third_artist,forth_artist,fifth_artist
2019-11-26T00:32:34.434Z,Grim (feat. Lil Ugly Mane & Denzel Curry),spotify:track:6pupcurqRceRKr1IjdM5nS,47,262693,True,3,Wiki,Lil Ugly Mane,Denzel Curry,,
2019-11-26T00:28:11.269Z,Does This Ski Mask Make Me Look Fat?,spotify:track:3RjZPlsPExqGxYEsBRi1oY,52,267929,True,2,JPEGMAFIA,Heno.,,,
2019-11-26T00:23:36.293Z,Blood of the Fang,spotify:track:5RYfvRGELWIr0UFPDZJMsK,49,279862,True,1,clipping.,,,,
2019-11-25T21:57:05.632Z,Beautiful Smile,spotify:track:475SvHOt2z2mp5dK2pjSJ8,55,171013,True,2,Saba,IDK,,,
2019-11-25T21:46:50.446Z,BIG TYME (feat. Swizz Beatz),spotify:track:1ZnLtcV93kvm5Mz7wXVQ3z,59,242853,True,2,Rick Ross,Swizz Beatz,,,
2019-11-25T21:38:08.306Z,Got Friends,spotify:track:1PVza5KmhSJhz12OewWciE,68,226963,True,2,GoldLink,Miguel,,,
2019-11-25T21:32:57.666Z,Wow Freestyle (feat. Kendrick Lamar),spotify:track:0gV5B7zmJkS1aaH9APokrH,71,175213,True,2,Jay Rock,Kendrick Lamar,,,
2019-11-25T17:46:40.850Z,Consecutive Normal Punches (feat. Buddy),spotify:track:0PeWHVfXWa2rgosd8sURLn,53,125557,True,2,Domo Genesis,Buddy,,,
2019-11-25T17:39:44.586Z,THRU THE NIGHT (feat. Bryson Tiller),spotify:track:1AgSUWSzmza5jF6ER5R68v,70,128409,True,2,Jack Harlow,Bryson Tiller,,,
2019-11-25T17:37:38.916Z,LIFE,spotify:track:3au0pvHqcTtszysswan6AO,65,162750,True,1,Saba,,,,
2019-11-25T17:30:45.989Z,Jollof Rice (with EARTHGANG),spotify:track:3eCulo5yg6EwkTfYcy1Xmh,62,128139,True,2,Bas,EARTHGANG,,,
2019-11-25T17:26:26.065Z,Maniac,spotify:track:5uNhWDGP1gXxS2IZl2alGx,60,189613,True,1,GoldLink,,,,
2019-11-25T17:20:33.357Z,Energy,spotify:track:6hmFeFu84Kukd73LOwdjtZ,54,195320,False,1,Big K.R.I.T.,,,,
2019-11-25T17:19:09.141Z,Believe It,spotify:track:7vp3xIWZQlUVocIGXJ8acq,34,211200,True,1,Bankroll Fresh,,,,
2019-11-25T17:13:59.031Z,Believe It,spotify:track:7vp3xIWZQlUVocIGXJ8acq,34,211200,True,1,Bankroll Fresh,,,,
2019-11-25T15:39:08.039Z,Gang Gang,spotify:track:6kqPWdv1pNXp6A2CowGSFA,59,135493,True,1,ScHoolboy Q,,,,
2019-11-25T01:29:10.425Z,Checc (feat. Offset),spotify:track:78UTxmRQSmwp8CxfEr4r9o,44,259798,False,3,Dave East,DJ Holiday,Offset,,
2019-11-25T01:13:03.989Z,Again,spotify:track:1uhw4ADHqx9ftHgdPzMZEp,45,208866,True,1,Dave East,,,,
2019-11-25T01:09:36.068Z,Debbie,spotify:track:02e5acaHnJXGFnyQJms8wB,55,146000,True,1,Wale,,,,
2019-11-25T01:05:12.585Z,Cut Em Off (feat. Don Q),spotify:track:3Z3DkfHoliu5Owoeh2kjCY,37,173557,True,2,Dave East,Don Q,,,
2019-11-25T01:02:21.140Z,Hit Man,spotify:track:2nTWyVObBPtxBK2cZmDIzA,61,142173,True,2,Gang Starr,Q-Tip,,,
2019-11-25T00:51:47.325Z,NOBU,spotify:track:2rXatl9YcEjqjktOutNUlN,51,170657,True,1,Dave East,,,,
2019-11-25T00:48:26.488Z,L.M.F.,spotify:track:2KmYPKHvwG77NAcDpFlLBm,58,188500,True,1,Smino,,,,
2019-11-24T23:59:51.332Z,Tribe,spotify:track:3genAqdJAms2ifNFdbC4EO,57,213809,True,1,Jidenna,,,,
2019-11-24T23:56:20.772Z,Championships,spotify:track:5DTOk0tCrmicVQP4mc6hkr,59,261742,True,1,Meek Mill,,,,
2019-11-24T23:49:24.773Z,Air 'Em Out,spotify:track:7fcV5aYRLfMyT7ArrIKYbL,37,230495,True,1,clipping.,,,,
2019-11-24T23:40:13.880Z,The Games We Play,spotify:track:7iEoaTyBCqLaAwJnOP1BTn,65,166120,True,1,Pusha T,,,,
2019-11-24T23:37:29.858Z,SUNDOWN,spotify:track:0ipgd8PPFza3NNmN3Rn2uF,64,125217,True,1,Jack Harlow,,,,
2019-11-24T23:35:26.518Z,BABYLON (feat. Chronixx),spotify:track:3Zll5MbCF6D7Tg7lsH9KYI,53,336333,True,2,Joey Bada$$,Chronixx,,,
2019-11-24T22:54:34.225Z,Cold 2,spotify:track:6ncmnBtbkt8Qr1RlEy9753,38,216685,True,1,Medslaus,,,,
2019-11-24T22:54:13.921Z,Koruna & Lime (Feat. A-Trak),spotify:track:3977oy5kwFbW4zLR8NmhjN,49,146760,True,2,Injury Reserve,A-Trak,,,
2019-11-24T22:49:52.169Z,Pneumonia,spotify:track:6l2Q1Jb5c2VycqDEzp5ZlJ,48,219883,True,1,Danny Brown,,,,
2019-11-24T03:14:10.047Z,The Only Thing,spotify:track:6VfN1B4f6nTssjhrkcAyKC,33,223000,True,1,Dave East,,,,
2019-11-24T02:48:24.025Z,Dope (Remix) (feat. Bankroll Fresh),spotify:track:5OnnaY5GVSYdmwYx40g1kL,30,313652,True,4,Gucci Mane,Boo Banga,Bottle Boyz,Bankroll Fresh,
2019-11-24T02:39:02.341Z,Danny Devito,spotify:track:6wXAF1Y1zn6PR93NqxF6I8,32,62800,True,1,Bankroll Fresh,,,,
2019-11-24T02:10:49.525Z,Behind The Fence,spotify:track:4ml6OJpkMAVc9uKCi3xpyZ,34,234166,True,1,Bankroll Fresh,,,,
2019-11-24T02:04:36.760Z,Behind The Fence,spotify:track:4ml6OJpkMAVc9uKCi3xpyZ,34,234166,True,1,Bankroll Fresh,,,,
2019-11-24T01:36:12.975Z,Walked In,spotify:track:252gJUec2oDsGBPcxZs4nX,62,198095,True,3,Bankroll Fresh,Travis Porter,Street Money Boochie,,
2019-11-23T22:01:36.464Z,Undefeated,spotify:track:4asV0Z4CL3n2flfHzvRNoO,48,251297,True,1,Ace Hood,,,,
2019-11-23T21:36:57.680Z,80's Baby,spotify:track:3nF2BsotDt6BVUoAhlchNl,31,153485,True,1,Ace Hood,,,,
2019-11-23T21:34:36.336Z,Intro (Earth Strong),spotify:track:5ACzNCtw7ez55fPbu3NRjW,0,15906,True,1,Ace Hood,,,,
2019-11-23T21:33:41.785Z,Look In My Eyes,spotify:track:0xeJBjZU4aUR1EcHZyvHXu,32,226199,True,1,Ace Hood,,,,
2019-11-23T21:27:19.349Z,Moonwalk,spotify:track:0bJQ2EJndGgy6gN63wSHty,50,166457,True,2,Rexx Life Raj,Kenny Beats,,,
2019-11-23T21:10:07.230Z,Bucket List,spotify:track:4BJpGfAf7hJiUeZilWT2Mf,52,214955,True,2,Saba,Matthew Santos,,,
2019-11-23T21:05:35.480Z,Tell Me Nothing,spotify:track:3izzXho1gsIVBK43jf8fgr,41,212642,True,1,Abhi The Nomad,,,,
2019-11-23T21:01:59.344Z,Treasure,spotify:track:55h7vJchibLdUkxdlX3fK7,77,178560,True,1,Bruno Mars,,,,
2019-11-23T20:55:50.743Z,Cold As Ice,spotify:track:5joEp8oT3HqX3JtbZ8DZ1Y,24,167810,False,2,MIKNNA,Quincy,,,
2019-11-23T20:48:40.395Z,Reverend,spotify:track:4BYPnNTZkGpnd5Odm2JFpT,61,156677,True,1,Smino,,,,
2019-11-23T20:46:05.262Z,What I Know Now (feat. Wiz Khalifa),spotify:track:3wImXdE4bliIVSEl3lVue1,64,180853,True,2,THEY.,Wiz Khalifa,,,
2019-11-23T20:28:43.327Z,Maniac,spotify:track:5uNhWDGP1gXxS2IZl2alGx,60,189613,True,1,GoldLink,,,,
